tconst,titleType,startYear,endYear,runYears,runtimeMinutes,genres,secGenres,maxSeason,avgMaxEps,actor,actress,archive_footage,self,writer,averageRating
tt0118401,tvSeries,1997,2022,25,90,Crime,Drama,21,5.583333333,6,3,0,0,1,7.9
tt0118403,tvSeries,1997,1997,0,30,Sci-Fi,Thriller,1,13,3,7,0,0,0,7.5
tt0118404,tvSeries,1997,1998,1,45,Crime,None,2,9,6,4,0,0,0,6.6
tt0118406,tvSeries,1997,2000,3,50,Crime,Drama,3,18.66666667,6,3,0,0,1,7.1
tt0118408,tvSeries,1995,1995,0,25,None,None,1,22,4,2,0,0,4,7.4
tt0118409,tvSeries,1996,1996,0,30,Comedy,Drama,3,7.666666667,2,8,0,0,0,8.5
tt0118411,tvSeries,1997,1998,1,60,Drama,None,1,19,6,3,0,0,1,7.9
tt0118412,tvSeries,1997,1998,1,30,Comedy,None,1,26,5,5,0,0,0,6.7
tt0118413,tvSeries,1997,1997,0,30,Comedy,None,1,5,3,1,0,6,0,6.8
tt0118416,tvSeries,1997,1997,0,60,Drama,None,1,8,6,4,0,0,0,7.8
tt0118417,tvSeries,1997,2002,5,40,Game-Show,None,3,13,0,0,0,10,0,3.8
tt0118420,tvSeries,1997,1997,0,30,Comedy,None,1,11,5,3,0,0,2,6.5
tt0118421,tvSeries,1997,2003,6,55,Crime,Drama,6,9.333333333,8,1,0,0,1,8.7
tt0118422,tvSeries,1997,1997,0,60,Drama,None,1,13,4,6,0,0,0,6.4
tt0118423,tvSeries,1997,1997,0,30,Comedy,None,1,5,5,3,0,0,2,3.3
tt0118424,tvSeries,1997,1997,0,15,Family,None,1,3,7,3,0,0,0,6.7
tt0118425,tvSeries,1997,1997,0,30,Comedy,None,1,6,6,4,0,0,0,6.6
tt0118426,tvSeries,1997,1997,0,30,Action,Comedy,1,10,6,4,0,0,0,6.2
tt0118427,tvSeries,1995,2000,5,30,Comedy,None,2,3.5,5,5,0,0,0,8.5
tt0118428,tvSeries,1997,1997,0,30,Comedy,None,1,6,8,2,0,0,0,7.5
tt0118431,tvSeries,1997,1998,1,60,Action,Crime,1,18,6,1,0,0,3,7.5
tt0118432,tvMiniSeries,1997,1997,0,50,Drama,None,1,6,6,4,0,0,0,7.9
tt0118435,tvSeries,1997,2003,6,30,Drama,Fantasy,1,769,4,3,0,0,3,6.8
tt0118436,tvSeries,1997,1998,1,30,Action,Adventure,1,45,8,2,0,0,0,5.5
tt0118437,tvSeries,1997,2004,7,60,Crime,Drama,8,20.875,3,6,0,0,1,7.7
tt0118438,tvSeries,1997,1998,1,30,Comedy,None,2,6,6,4,0,0,0,5.9
tt0118439,tvSeries,1997,1997,0,60,Drama,None,1,6,6,4,0,0,0,6.5
tt0118442,tvSeries,1995,1997,2,45,Drama,None,2,8,4,4,0,0,2,7.5
tt0118445,tvSeries,1997,1998,1,50,Drama,None,1,13,4,5,0,0,1,6.8
tt0118447,tvSeries,1997,1997,0,25,Action,Adventure,1,13,5,5,0,0,0,7.1
tt0118451,tvSeries,1997,1997,0,60,Action,Adventure,1,13,7,3,0,0,0,7.2
tt0118454,tvSeries,1997,1997,0,30,Comedy,None,0,0,0,0,0,4,0,7.2
tt0118455,tvSeries,1997,2000,3,30,Talk-Show,None,4,12,0,0,0,10,0,6.4
tt0118456,tvSeries,1996,1996,0,30,None,None,1,7,6,3,0,0,1,7.3
tt0118457,tvSeries,1997,1997,0,30,Comedy,Drama,1,6,4,6,0,0,0,6.7
tt0118459,tvSeries,1997,1997,0,78,Documentary,Music,3,8.75,1,0,0,9,0,8.4
tt0118463,tvSeries,1997,2000,3,60,Drama,None,3,6,4,4,0,0,2,7.1
tt0118464,tvSeries,1997,1998,1,60,Drama,Mystery,1,9,6,2,0,0,2,6.1
tt0118466,tvSeries,1997,1999,2,30,Comedy,Drama,3,17,7,1,0,0,2,7.4
tt0118467,tvSeries,1993,1997,4,58,Crime,Drama,3,6.666666667,6,4,0,0,0,6.4
tt0118468,tvSeries,1997,1997,0,30,Comedy,None,1,2.5,4,5,0,0,1,6.8
tt0118469,tvSeries,1997,1999,2,60,Action,Adventure,2,18.5,6,1,0,0,3,6.8
tt0118470,tvSeries,1997,1997,0,45,Comedy,Crime,1,12,8,2,0,0,0,6.3
tt0118471,tvSeries,1997,1997,0,90,Crime,None,1,13,6,4,0,0,0,7.2
tt0118473,tvSeries,1997,1998,1,30,Comedy,Family,2,12,6,1,0,0,3,6.2
tt0118474,tvSeries,1997,1997,0,30,Comedy,Game-Show,1,10,0,0,0,10,0,7.9
tt0118475,tvSeries,1997,1999,2,30,Action,Adventure,3,6,7,1,0,1,1,8.1
tt0118476,tvMiniSeries,1997,1997,0,24,Adventure,Family,1,26,5,3,0,0,2,7.9
tt0118478,tvSeries,1997,1997,0,60,Action,Adventure,1,13,5,2,0,0,3,7.8
tt0118479,tvSeries,1997,2005,8,25,Comedy,Drama,13,11.83333333,5,5,0,0,0,5.4
tt0118480,tvSeries,1997,2007,10,44,Action,Adventure,10,21.3,6,2,0,0,2,8.4
tt0118483,tvSeries,1997,1997,0,30,Comedy,None,1,6,7,3,0,0,0,7.9
tt0118484,tvSeries,1997,1999,2,60,Drama,Romance,1,755,4,3,0,0,3,6.9
tt0118487,tvSeries,1997,1998,1,30,Comedy,Fantasy,1,17,5,3,0,0,2,7.2
tt0118488,tvSeries,1997,1997,0,30,Comedy,None,1,6,4,3,0,0,3,6.8
tt0118491,tvSeries,1997,1997,0,30,Drama,None,1,6,4,6,0,0,0,5.9
tt0118492,tvSeries,1997,1998,1,60,Action,Adventure,1,9,8,2,0,0,0,6.2
tt0118494,tvSeries,1997,1998,1,30,Comedy,None,1,19,5,4,0,0,1,6.3
tt0118495,tvSeries,1997,1998,1,30,Comedy,None,1,14,5,4,0,0,1,4.8
tt0118496,tvSeries,1997,1997,0,60,Action,Crime,1,12,4,2,0,0,4,6.8
tt0118500,tvSeries,1997,1999,2,30,Comedy,None,2,47.5,4,4,0,0,2,6.5
tt0118501,tvSeries,1997,1998,1,30,Comedy,None,1,13,5,3,0,0,2,4.6
tt0118506,tvSeries,1997,2000,3,30,Comedy,None,3,22,5,3,0,0,2,5.7
tt0118507,tvSeries,1997,1997,0,30,Action,None,1,1,6,4,0,0,0,3
tt0118509,tvSeries,1997,1998,1,60,Drama,Sci-Fi,1,13,8,0,0,0,2,7.1
tt0118512,tvSeries,1996,1996,0,25,Comedy,Family,1,9,8,2,0,0,0,7.9
tt0118513,tvSeries,1997,1998,1,30,Animation,Comedy,1,13,6,3,0,1,0,7.5
tt0118515,tvSeries,1997,2002,5,30,Comedy,Game-Show,6,8.142857143,0,0,0,10,0,6.6
tt0118516,tvSeries,1997,1997,0,30,None,None,1,6,5,5,0,0,0,8.1
tt0118517,tvSeries,1997,1999,2,30,Comedy,None,2,19.5,4,4,0,0,2,7.5
tt0118862,tvSeries,1997,1997,0,30,None,None,1,4,6,3,0,0,1,6.2
tt0118933,tvMiniSeries,1997,1997,0,190,Adventure,Biography,1,2,8,2,0,0,0,6.9
tt0118984,tvSeries,1999,2000,1,30,Animation,Comedy,2,15,7,1,0,0,2,7.3
tt0119101,tvSeries,1997,1998,1,60,Drama,None,1,21,6,3,0,0,1,5.6
